player,playerId,team,teamId,conference,division,age,height_abbrev,height,jersey,position,teams
Bradley Beal,203078,WAS,1610612764,east,southeast,28.0,6-4,76,3.0,Guard,WAS
Cassius Winston,1630216,WAS,1610612764,east,southeast,24.0,6-1,73,5.0,Guard,WAS
Corey Kispert,1630557,WAS,1610612764,east,southeast,22.0,6-6,78,24.0,Forward,WAS
Daniel Gafford,1629655,WAS,1610612764,east,southeast,23.0,6-9,81,21.0,Forward-Center,WASCHI
Deni Avdija,1630166,WAS,1610612764,east,southeast,21.0,6-9,81,9.0,Forward,WAS
Isaiah Todd,1630225,WAS,1610612764,east,southeast,20.0,6-9,81,14.0,Forward,WAS
Ish Smith,202397,WAS,1610612764,east,southeast,33.0,6-0,72,10.0,Guard,WASCHADETPHINOPOKCPHXMILORLGSWMEMHOU
Joel Ayayi,1630555,WAS,1610612764,east,southeast,21.0,6-4,76,17.0,Guard,WAS
Kentavious Caldwell-Pope,203484,WAS,1610612764,east,southeast,29.0,6-5,77,1.0,Guard,WASLALDET
Kristaps Porzingis,204001,WAS,1610612764,east,southeast,26.0,7-3,87,6.0,Forward-Center,DALNYK
Kyle Kuzma,1628398,WAS,1610612764,east,southeast,26.0,6-9,81,33.0,Forward,WASLAL
Raul Neto,203526,WAS,1610612764,east,southeast,29.0,6-2,74,19.0,Guard,WASPHIUTA
Rui Hachimura,1629060,WAS,1610612764,east,southeast,24.0,6-8,80,8.0,Forward,WAS
Thomas Bryant,1628418,WAS,1610612764,east,southeast,24.0,6-10,82,13.0,Center-Forward,WASLAL
Vernon Carey Jr.,1630176,WAS,1610612764,east,southeast,21.0,6-9,81,22.0,Forward-Center,WASCHA
Arnoldas Kulboka,1629083,CHA,1610612766,east,southeast,24.0,6-10,82,98.0,Forward,CHA
Cody Martin,1628998,CHA,1610612766,east,southeast,26.0,6-6,78,11.0,Forward,CHA
Gordon Hayward,202330,CHA,1610612766,east,southeast,31.0,6-7,79,20.0,Forward,CHABOSUTA
JT Thor,1630550,CHA,1610612766,east,southeast,19.0,6-9,81,21.0,Forward,CHA
Jalen McDaniels,1629667,CHA,1610612766,east,southeast,24.0,6-9,81,6.0,Forward-Center,CHA
James Bouknight,1630547,CHA,1610612766,east,southeast,21.0,6-4,76,5.0,Guard,CHA
Kai Jones,1630539,CHA,1610612766,east,southeast,21.0,6-10,82,23.0,Center-Forward,CHA
Kelly Oubre Jr.,1626162,CHA,1610612766,east,southeast,26.0,6-6,78,12.0,Forward-Guard,CHAGSWPHXWAS
LaMelo Ball,1630163,CHA,1610612766,east,southeast,20.0,6-7,79,2.0,Guard,CHA
Mason Plumlee,203486,CHA,1610612766,east,southeast,31.0,6-11,83,24.0,Forward-Center,CHADETDENPORBKN
Miles Bridges,1628970,CHA,1610612766,east,southeast,23.0,6-7,79,0.0,Forward,CHA
Montrezl Harrell,1626149,CHA,1610612766,east,southeast,28.0,6-7,79,6.0,Forward-Center,CHAWASLALLACHOU
Nick Richards,1630208,CHA,1610612766,east,southeast,24.0,7-0,84,14.0,Center,CHA
P.J. Washington,1629023,CHA,1610612766,east,southeast,23.0,6-7,79,25.0,Forward,CHA
Scottie Lewis,1630575,CHA,1610612766,east,southeast,21.0,6-5,77,16.0,Guard,CHA
Terry Rozier,1626179,CHA,1610612766,east,southeast,27.0,6-1,73,3.0,Guard,CHABOS
Bam Adebayo,1628389,MIA,1610612748,east,southeast,24.0,6-9,81,13.0,Center-Forward,MIA
Caleb Martin,1628997,MIA,1610612748,east,southeast,26.0,6-5,77,16.0,Forward,MIACHA
Dewayne Dedmon,203473,MIA,1610612748,east,southeast,32.0,7-0,84,21.0,Center,MIAATLSACSASORLPHIGSW
Duncan Robinson,1629130,MIA,1610612748,east,southeast,27.0,6-7,79,55.0,Forward,MIA
Gabe Vincent,1629216,MIA,1610612748,east,southeast,25.0,6-3,75,2.0,Guard,MIA
Haywood Highsmith,1629312,MIA,1610612748,east,southeast,25.0,6-4,76,24.0,Forward,MIAPHI
Javonte Smart,1630606,MIA,1610612748,east,southeast,22.0,6-4,76,15.0,Guard,MIL
Jimmy Butler,202710,MIA,1610612748,east,southeast,32.0,6-7,79,22.0,Forward,MIAPHIMINCHI
Kyle Guy,1629657,MIA,1610612748,east,southeast,24.0,6-1,73,5.0,Guard,MIASAC
Kyle Lowry,200768,MIA,1610612748,east,southeast,35.0,6-0,72,7.0,Guard,MIATORHOUMEM
Markieff Morris,202693,MIA,1610612748,east,southeast,32.0,6-9,81,8.0,Forward,MIALALDETOKCWASPHX
Max Strus,1629622,MIA,1610612748,east,southeast,25.0,6-5,77,31.0,Guard-Forward,MIACHI
Omer Yurtseven,1630209,MIA,1610612748,east,southeast,23.0,6-11,83,77.0,Center,MIA
P.J. Tucker,200782,MIA,1610612748,east,southeast,36.0,6-5,77,17.0,Forward,MIAMILHOUTORPHX
Tyler Herro,1629639,MIA,1610612748,east,southeast,22.0,6-5,77,14.0,Guard,MIA
Udonis Haslem,2617,MIA,1610612748,east,southeast,41.0,6-8,80,40.0,Forward,MIA
Boban Marjanovic,1626246,DAL,1610612742,west,southwest,33.0,7-3,87,51.0,Center,DALPHILACDETSAS
Davis Bertans,202722,DAL,1610612742,west,southwest,29.0,6-10,82,42.0,Forward,DALWASSAS
Dorian Finney-Smith,1627827,DAL,1610612742,west,southwest,28.0,6-7,79,10.0,Forward,DAL
Dwight Powell,203939,DAL,1610612742,west,southwest,30.0,6-10,82,7.0,Forward-Center,DALBOS
Frank Ntilikina,1628373,DAL,1610612742,west,southwest,23.0,6-4,76,21.0,Guard,DALNYK
Jalen Brunson,1628973,DAL,1610612742,west,southwest,25.0,6-1,73,13.0,Guard,DAL
Josh Green,1630182,DAL,1610612742,west,southwest,21.0,6-5,77,8.0,Guard,DAL
Luka Doncic,1629029,DAL,1610612742,west,southwest,23.0,6-7,79,77.0,Forward-Guard,DAL
Marquese Chriss,1627737,DAL,1610612742,west,southwest,24.0,6-9,81,35.0,Forward,DALGSWCLEHOUPHX
Maxi Kleber,1628467,DAL,1610612742,west,southwest,30.0,6-10,82,42.0,Forward,DAL
Moses Wright,1630589,DAL,1610612742,west,southwest,23.0,6-8,80,,Forward,LAC
Reggie Bullock,203493,DAL,1610612742,west,southwest,30.0,6-6,78,25.0,Guard-Forward,DALNYKLALDETPHXLAC
Spencer Dinwiddie,203915,DAL,1610612742,west,southwest,28.0,6-6,78,26.0,Guard,DALWASBKNDET
Sterling Brown,1628425,DAL,1610612742,west,southwest,27.0,6-5,77,0.0,Guard-Forward,DALHOUMIL
Theo Pinson,1629033,DAL,1610612742,west,southwest,26.0,6-5,77,21.0,Guard-Forward,DALNYKBKN
Tim Hardaway Jr.,203501,DAL,1610612742,west,southwest,29.0,6-5,77,11.0,Guard-Forward,DALNYKATL
Trey Burke,203504,DAL,1610612742,west,southwest,29.0,6-0,72,3.0,Guard,DALPHINYKWASUTA
Bobby Portis,1626171,MIL,1610612749,east,central,27.0,6-10,82,9.0,Forward,MILNYKWASCHI
Brook Lopez,201572,MIL,1610612749,east,central,33.0,7-0,84,11.0,Center,MILLALBKNNJN
DeAndre' Bembry,1627761,MIL,1610612749,east,central,27.0,6-5,77,95.0,Guard-Forward,MILBKNTORATL
George Hill,201588,MIL,1610612749,east,central,35.0,6-4,76,3.0,Guard,MILPHIOKCCLESACUTAINDSAS
Giannis Antetokounmpo,203507,MIL,1610612749,east,central,27.0,6-11,83,34.0,Forward,MIL
Grayson Allen,1628960,MIL,1610612749,east,central,26.0,6-4,76,7.0,Guard,MILMEMUTA
Jevon Carter,1628975,MIL,1610612749,east,central,26.0,6-1,73,0.0,Guard,MILBKNPHXMEM
Jordan Nwora,1629670,MIL,1610612749,east,central,23.0,6-8,80,13.0,Forward,MIL
Jrue Holiday,201950,MIL,1610612749,east,central,31.0,6-3,75,21.0,Guard,MILNOPPHI
Khris Middleton,203114,MIL,1610612749,east,central,30.0,6-7,79,22.0,Forward,MILDET
Lindell Wigginton,1629623,MIL,1610612749,east,central,23.0,6-1,73,28.0,Guard,MIL
Pat Connaughton,1626192,MIL,1610612749,east,central,29.0,6-5,77,24.0,Guard,MILPOR
Sandro Mamukelashvili,1630572,MIL,1610612749,east,central,22.0,6-9,81,54.0,Forward-Center,MIL
Serge Ibaka,201586,MIL,1610612749,east,central,32.0,6-10,82,25.0,Forward,MILLACTORORLOKC
Thanasis Antetokounmpo,203648,MIL,1610612749,east,central,29.0,6-6,78,43.0,Forward,MILNYK
Wesley Matthews,202083,MIL,1610612749,east,central,35.0,6-4,76,23.0,Guard,MILLALINDNYKDALPORUTA
Bogdan Bogdanovic,203992,ATL,1610612737,east,southeast,29.0,6-6,78,13.0,Guard,ATLSAC
Clint Capela,203991,ATL,1610612737,east,southeast,27.0,6-10,82,15.0,Center,ATLHOU
Danilo Gallinari,201568,ATL,1610612737,east,southeast,33.0,6-10,82,8.0,Forward,ATLOKCLACDENNYK
De'Andre Hunter,1629631,ATL,1610612737,east,southeast,24.0,6-8,80,12.0,Forward-Guard,ATL
Delon Wright,1626153,ATL,1610612737,east,southeast,29.0,6-5,77,0.0,Guard,ATLSACDETDALMEMTOR
Gorgui Dieng,203476,ATL,1610612737,east,southeast,32.0,6-10,82,10.0,Center,ATLSASMEMMIN
Jalen Johnson,1630552,ATL,1610612737,east,southeast,20.0,6-8,80,1.0,Forward,ATL
John Collins,1628381,ATL,1610612737,east,southeast,24.0,6-9,81,20.0,Forward-Center,ATL
Kevin Huerter,1628989,ATL,1610612737,east,southeast,23.0,6-7,79,3.0,Guard-Forward,ATL
Kevin Knox II,1628995,ATL,1610612737,east,southeast,22.0,6-7,79,5.0,Forward,ATLNYK
Lou Williams,101150,ATL,1610612737,east,southeast,35.0,6-2,74,6.0,Guard,ATLLACHOULALTORPHI
Onyeka Okongwu,1630168,ATL,1610612737,east,southeast,21.0,6-8,80,17.0,Forward-Center,ATL
Sharife Cooper,1630536,ATL,1610612737,east,southeast,20.0,6-1,73,2.0,Guard,ATL
Skylar Mays,1630219,ATL,1610612737,east,southeast,24.0,6-4,76,4.0,Guard,ATL
Timothe Luwawu-Cabarrot,1627789,ATL,1610612737,east,southeast,26.0,6-7,79,7.0,Guard-Forward,ATLBKNCHIOKCPHI
Trae Young,1629027,ATL,1610612737,east,southeast,23.0,6-1,73,11.0,Guard,ATL
Bojan Bogdanovic,202711,UTA,1610612762,west,northwest,32.0,6-7,79,44.0,Forward,UTAINDWASBKN
Danuel House Jr.,1627863,UTA,1610612762,west,northwest,28.0,6-6,78,25.0,Forward-Guard,UTANYKHOUPHXWAS
Donovan Mitchell,1628378,UTA,1610612762,west,northwest,25.0,6-1,73,45.0,Guard,UTA
Eric Paschall,1629672,UTA,1610612762,west,northwest,25.0,6-6,78,0.0,Forward,UTAGSW
Hassan Whiteside,202355,UTA,1610612762,west,northwest,32.0,7-0,84,21.0,Center,UTASACPORMIA
Jared Butler,1630215,UTA,1610612762,west,northwest,21.0,6-3,75,13.0,Guard,UTA
Jordan Clarkson,203903,UTA,1610612762,west,northwest,29.0,6-4,76,0.0,Guard,UTACLELAL
Juancho Hernangomez,1627823,UTA,1610612762,west,northwest,26.0,6-9,81,41.0,Forward,UTASASBOSMINDEN
Mike Conley,201144,UTA,1610612762,west,northwest,34.0,6-1,73,11.0,Guard,UTAMEM
Nickeil Alexander-Walker,1629638,UTA,1610612762,west,northwest,23.0,6-5,77,6.0,Guard,UTANOP
Royce O'Neale,1626220,UTA,1610612762,west,northwest,28.0,6-5,77,23.0,Forward,UTA
Rudy Gay,200752,UTA,1610612762,west,northwest,35.0,6-8,80,8.0,Forward-Guard,UTASASSACTORMEM
Rudy Gobert,203497,UTA,1610612762,west,northwest,29.0,7-1,85,27.0,Center,UTA
Trent Forrest,1630235,UTA,1610612762,west,northwest,23.0,6-4,76,3.0,Guard,UTA
Udoka Azubuike,1628962,UTA,1610612762,west,northwest,22.0,7-0,84,20.0,Center-Forward,UTA
Xavier Sneed,1630270,UTA,1610612762,west,northwest,24.0,6-5,77,,Forward,MEM
Brandon Clarke,1629634,MEM,1610612763,west,southwest,25.0,6-8,80,15.0,Forward,MEM
De'Anthony Melton,1629001,MEM,1610612763,west,southwest,23.0,6-2,74,0.0,Guard,MEMPHX
Desmond Bane,1630217,MEM,1610612763,west,southwest,23.0,6-5,77,22.0,Guard,MEM
Dillon Brooks,1628415,MEM,1610612763,west,southwest,26.0,6-7,79,24.0,Guard-Forward,MEM
Ja Morant,1629630,MEM,1610612763,west,southwest,22.0,6-3,75,12.0,Guard,MEM
Jaren Jackson Jr.,1628991,MEM,1610612763,west,southwest,22.0,6-11,83,13.0,Forward-Center,MEM
Jarrett Culver,1629633,MEM,1610612763,west,southwest,23.0,6-6,78,23.0,Guard-Forward,MEMMIN
John Konchar,1629723,MEM,1610612763,west,southwest,25.0,6-5,77,46.0,Guard,MEM
Killian Tillie,1629681,MEM,1610612763,west,southwest,23.0,6-9,81,35.0,Forward-Center,MEM
Kyle Anderson,203937,MEM,1610612763,west,southwest,28.0,6-9,81,1.0,Forward-Guard,MEMSAS
Santi Aldama,1630583,MEM,1610612763,west,southwest,21.0,6-11,83,7.0,Forward-Center,MEM
Steven Adams,203500,MEM,1610612763,west,southwest,28.0,6-11,83,4.0,Center,MEMNOPOKC
Tyrell Terry,1630179,MEM,1610612763,west,southwest,21.0,6-2,74,3.0,Guard,MEMDAL
Tyus Jones,1626145,MEM,1610612763,west,southwest,25.0,6-0,72,21.0,Guard,MEMMIN
Xavier Tillman,1630214,MEM,1610612763,west,southwest,23.0,6-8,80,2.0,Forward,MEM
Yves Pons,1630582,MEM,1610612763,west,southwest,22.0,6-5,77,5.0,Forward,MEM
Ziaire Williams,1630533,MEM,1610612763,west,southwest,20.0,6-9,81,8.0,Forward,MEM
Brandon Goodwin,1629164,CLE,1610612739,east,central,26.0,6-0,72,0.0,Guard,CLEATLDEN
Caris LeVert,1627747,CLE,1610612739,east,central,27.0,6-6,78,3.0,Guard,CLEINDBKN
Cedi Osman,1626224,CLE,1610612739,east,central,26.0,6-7,79,16.0,Forward,CLE
Collin Sexton,1629012,CLE,1610612739,east,central,23.0,6-1,73,2.0,Guard,CLE
Darius Garland,1629636,CLE,1610612739,east,central,22.0,6-1,73,10.0,Guard,CLE
Dean Wade,1629731,CLE,1610612739,east,central,25.0,6-9,81,32.0,Forward-Center,CLE
Dylan Windler,1629685,CLE,1610612739,east,central,25.0,6-6,78,9.0,Guard-Forward,CLE
Ed Davis,202334,CLE,1610612739,east,central,32.0,6-9,81,21.0,Center-Forward,CLEMINUTABKNPORLALMEMTOR
Evan Mobley,1630596,CLE,1610612739,east,central,20.0,6-11,83,4.0,Center,CLE
Isaac Okoro,1630171,CLE,1610612739,east,central,21.0,6-5,77,35.0,Forward-Guard,CLE
Jarrett Allen,1628386,CLE,1610612739,east,central,23.0,6-10,82,31.0,Center,CLEBKN
Kevin Love,201567,CLE,1610612739,east,central,33.0,6-8,80,0.0,Forward-Center,CLEMIN
Lamar Stevens,1630205,CLE,1610612739,east,central,24.0,6-6,78,8.0,Forward,CLE
Lauri Markkanen,1628374,CLE,1610612739,east,central,24.0,6-11,83,24.0,Forward-Center,CLECHI
RJ Nembhard Jr.,1630612,CLE,1610612739,east,central,22.0,6-4,76,5.0,Guard,CLE
Rajon Rondo,200765,CLE,1610612739,east,central,36.0,6-1,73,1.0,Guard,CLELALLACATLNOPCHISACDALBOS
Tim Frazier,204025,CLE,1610612739,east,central,31.0,6-0,72,10.0,Guard,CLEORLMEMDETMILNOPWASPORPHI
Brandon Ingram,1627742,NOP,1610612740,west,southwest,24.0,6-8,80,14.0,Forward,NOPLAL
CJ McCollum,203468,NOP,1610612740,west,southwest,30.0,6-3,75,3.0,Guard,NOPPOR
Devonte' Graham,1628984,NOP,1610612740,west,southwest,27.0,6-1,73,4.0,Guard,NOPCHA
Garrett Temple,202066,NOP,1610612740,west,southwest,35.0,6-5,77,41.0,Guard-Forward,NOPCHIBKNLACMEMSACWASCHAMILSASHOU
Gary Clark,1629109,NOP,1610612740,west,southwest,27.0,6-6,78,12.0,Forward,NOPPHIDENORLHOU
Herbert Jones,1630529,NOP,1610612740,west,southwest,23.0,6-7,79,5.0,Forward,NOP
Jaxson Hayes,1629637,NOP,1610612740,west,southwest,21.0,6-11,83,10.0,Center-Forward,NOP
Jonas Valanciunas,202685,NOP,1610612740,west,southwest,29.0,6-11,83,17.0,Center,NOPMEMTOR
Jose Alvarado,1630631,NOP,1610612740,west,southwest,23.0,6-0,72,15.0,Guard,NOP
Kira Lewis Jr.,1630184,NOP,1610612740,west,southwest,20.0,6-1,73,13.0,Guard,NOP
Larry Nance Jr.,1626204,NOP,1610612740,west,southwest,29.0,6-7,79,22.0,Forward-Center,PORCLELAL
Naji Marshall,1630230,NOP,1610612740,west,southwest,24.0,6-7,79,8.0,Forward,NOP
Tony Snell,203503,NOP,1610612740,west,southwest,30.0,6-6,78,21.0,Guard,NOPPORATLDETMILCHI
Trey Murphy III,1630530,NOP,1610612740,west,southwest,21.0,6-8,80,25.0,Forward,NOP
Willy Hernangomez,1626195,NOP,1610612740,west,southwest,27.0,6-11,83,9.0,Center-Forward,NOPCHANYK
Buddy Hield,1627741,IND,1610612754,east,central,29.0,6-4,76,24.0,Guard,INDSACNOP
Chris Duarte,1630537,IND,1610612754,east,central,24.0,6-5,77,3.0,Guard,IND
Duane Washington Jr.,1630613,IND,1610612754,east,central,21.0,6-3,75,4.0,Guard,IND
Goga Bitadze,1629048,IND,1610612754,east,central,22.0,7-0,84,88.0,Center-Forward,IND
Isaiah Jackson,1630543,IND,1610612754,east,central,20.0,6-10,82,23.0,Forward,IND
Jalen Smith,1630188,IND,1610612754,east,central,21.0,6-10,82,25.0,Forward-Center,INDPHX
Keifer Sykes,1626208,IND,1610612754,east,central,28.0,5-11,71,28.0,Guard,IND
Lance Stephenson,202362,IND,1610612754,east,central,31.0,6-5,77,6.0,Forward,INDATLLALMINNOPMEMLACCHA
Malcolm Brogdon,1627763,IND,1610612754,east,central,29.0,6-5,77,7.0,Guard,INDMIL
Myles Turner,1626167,IND,1610612754,east,central,25.0,6-11,83,33.0,Center-Forward,IND
Oshae Brissett,1629052,IND,1610612754,east,central,23.0,6-7,79,12.0,Forward-Guard,INDTOR
Ricky Rubio,201937,IND,1610612754,east,central,31.0,6-2,74,99.0,Guard,CLEMINPHXUTA
T.J. McConnell,204456,IND,1610612754,east,central,29.0,6-1,73,9.0,Guard,INDPHI
Terry Taylor,1630678,IND,1610612754,east,central,22.0,6-5,77,32.0,Forward,IND
Tyrese Haliburton,1630169,IND,1610612754,east,central,22.0,6-5,77,0.0,Guard,INDSAC
Cade Cunningham,1630595,DET,1610612765,east,central,20.0,6-6,78,2.0,Guard,DET
Cory Joseph,202709,DET,1610612765,east,central,30.0,6-3,75,18.0,Guard,DETSACINDTORSAS
Frank Jackson,1628402,DET,1610612765,east,central,23.0,6-3,75,5.0,Guard,DETNOP
Hamidou Diallo,1628977,DET,1610612765,east,central,23.0,6-5,77,6.0,Guard,DETOKC
Isaiah Livers,1630587,DET,1610612765,east,central,23.0,6-6,78,12.0,Forward,DET
Isaiah Stewart,1630191,DET,1610612765,east,central,20.0,6-8,80,28.0,Forward-Center,DET
Jamorko Pickett,1630691,DET,1610612765,east,central,24.0,6-9,81,24.0,Forward,DET
Jerami Grant,203924,DET,1610612765,east,central,27.0,6-8,80,9.0,Forward,DETDENOKCPHI
Kelly Olynyk,203482,DET,1610612765,east,central,30.0,6-11,83,13.0,Forward-Center,DETHOUMIABOS
Killian Hayes,1630165,DET,1610612765,east,central,20.0,6-5,77,7.0,Guard,DET
Luka Garza,1630568,DET,1610612765,east,central,23.0,6-10,82,55.0,Center,DET
Marvin Bagley III,1628963,DET,1610612765,east,central,22.0,6-11,83,35.0,Forward,DETSAC
Rodney McGruder,203585,DET,1610612765,east,central,30.0,6-4,76,17.0,Guard,DETLACMIA
Saben Lee,1630240,DET,1610612765,east,central,22.0,6-2,74,38.0,Guard,DET
Saddiq Bey,1630180,DET,1610612765,east,central,22.0,6-7,79,41.0,Forward,DET
Charles Bassey,1629646,PHI,1610612755,east,atlantic,21.0,6-9,81,23.0,Center-Forward,PHI
Charlie Brown Jr.,1629718,PHI,1610612755,east,atlantic,25.0,6-6,78,16.0,Guard,PHIDALOKCATL
Danny Green,201980,PHI,1610612755,east,atlantic,34.0,6-6,78,14.0,Guard,PHILALTORSASCLE
Furkan Korkmaz,1627788,PHI,1610612755,east,atlantic,24.0,6-7,79,30.0,Guard-Forward,PHI
Georges Niang,1627777,PHI,1610612755,east,atlantic,28.0,6-7,79,20.0,Forward,PHIUTAIND
Isaiah Joe,1630198,PHI,1610612755,east,atlantic,22.0,6-4,76,7.0,Guard,PHI
Jaden Springer,1630531,PHI,1610612755,east,atlantic,19.0,6-4,76,11.0,Guard,PHI
James Harden,201935,PHI,1610612755,east,atlantic,32.0,6-5,77,1.0,Guard,PHIBKNHOUOKC
Joel Embiid,203954,PHI,1610612755,east,atlantic,27.0,7-0,84,21.0,Center-Forward,PHI
Matisse Thybulle,1629680,PHI,1610612755,east,atlantic,24.0,6-5,77,22.0,Guard-Forward,PHI
Myles Powell,1629619,PHI,1610612755,east,atlantic,24.0,6-2,74,5.0,Guard,PHI
Paul Millsap,200794,PHI,1610612755,east,atlantic,37.0,6-7,79,8.0,Forward,PHIBKNDENATLUTA
Paul Reed,1630194,PHI,1610612755,east,atlantic,22.0,6-9,81,44.0,Forward,PHI
Shake Milton,1629003,PHI,1610612755,east,atlantic,25.0,6-5,77,18.0,Guard-Forward,PHI
Tobias Harris,202699,PHI,1610612755,east,atlantic,29.0,6-7,79,12.0,Forward,PHILACDETORLMIL
Tyrese Maxey,1630178,PHI,1610612755,east,atlantic,21.0,6-2,74,0.0,Guard,PHI
Willie Cauley-Stein,1626161,PHI,1610612755,east,atlantic,28.0,7-0,84,0.0,Center,PHIDALGSWSAC
Chris Boucher,1628449,TOR,1610612761,east,atlantic,29.0,6-9,81,25.0,Forward-Center,TORGSW
D.J. Wilson,1628391,TOR,1610612761,east,atlantic,26.0,6-10,82,9.0,Forward,TORHOUMIL
Dalano Banton,1630625,TOR,1610612761,east,atlantic,22.0,6-7,79,45.0,Forward,TOR
David Johnson,1630525,TOR,1610612761,east,atlantic,21.0,6-4,76,13.0,Guard,TOR
Fred VanVleet,1627832,TOR,1610612761,east,atlantic,28.0,6-1,73,23.0,Guard,TOR
Gary Trent Jr.,1629018,TOR,1610612761,east,atlantic,23.0,6-5,77,33.0,Guard-Forward,TORPOR
Isaac Bonga,1629067,TOR,1610612761,east,atlantic,22.0,6-8,80,17.0,Guard,TORWASLAL
Justin Champagnie,1630551,TOR,1610612761,east,atlantic,20.0,6-6,78,11.0,Guard-Forward,TOR
Khem Birch,203920,TOR,1610612761,east,atlantic,29.0,6-9,81,24.0,Center,TORORL
Malachi Flynn,1630201,TOR,1610612761,east,atlantic,23.0,6-1,73,22.0,Guard,TOR
OG Anunoby,1628384,TOR,1610612761,east,atlantic,24.0,6-7,79,3.0,Forward,TOR
Pascal Siakam,1627783,TOR,1610612761,east,atlantic,27.0,6-8,80,43.0,Forward,TOR
Precious Achiuwa,1630173,TOR,1610612761,east,atlantic,22.0,6-8,80,5.0,Forward,TORMIA
Scottie Barnes,1630567,TOR,1610612761,east,atlantic,20.0,6-7,79,4.0,Forward,TOR
Svi Mykhailiuk,1629004,TOR,1610612761,east,atlantic,24.0,6-7,79,14.0,Guard-Forward,TOROKCDETLAL
Thaddeus Young,201152,TOR,1610612761,east,atlantic,33.0,6-8,80,30.0,Forward,TORSASCHIINDBKNMINPHI
Yuta Watanabe,1629139,TOR,1610612761,east,atlantic,27.0,6-9,81,18.0,Guard-Forward,TORMEM
Dejounte Murray,1627749,SAS,1610612759,west,southwest,25.0,6-4,76,5.0,Guard,SAS
Devin Vassell,1630170,SAS,1610612759,west,southwest,21.0,6-5,77,24.0,Guard-Forward,SAS
Devontae Cacok,1629719,SAS,1610612759,west,southwest,25.0,6-7,79,18.0,Forward,SASLAL
Doug McDermott,203926,SAS,1610612759,west,southwest,30.0,6-7,79,17.0,Forward,SASINDDALNYKOKCCHI
Jakob Poeltl,1627751,SAS,1610612759,west,southwest,26.0,7-1,85,25.0,Center,SASTOR
Jock Landale,1629111,SAS,1610612759,west,southwest,26.0,6-11,83,34.0,Center,SAS
Joe Wieskamp,1630580,SAS,1610612759,west,southwest,22.0,6-6,78,15.0,Guard-Forward,SAS
Josh Richardson,1626196,SAS,1610612759,west,southwest,28.0,6-5,77,7.0,Guard,SASBOSDALPHIMIA
Joshua Primo,1630563,SAS,1610612759,west,southwest,19.0,6-4,76,11.0,Guard,SAS
Keita Bates-Diop,1628966,SAS,1610612759,west,southwest,26.0,6-8,80,31.0,Forward,SASDENMIN
Keldon Johnson,1629640,SAS,1610612759,west,southwest,22.0,6-6,78,3.0,Forward-Guard,SAS
Lonnie Walker IV,1629022,SAS,1610612759,west,southwest,23.0,6-4,76,1.0,Guard-Forward,SAS
Romeo Langford,1629641,SAS,1610612759,west,southwest,22.0,6-5,77,35.0,Guard-Forward,BOS
Tre Jones,1630200,SAS,1610612759,west,southwest,22.0,6-1,73,33.0,Guard,SAS
Zach Collins,1628380,SAS,1610612759,west,southwest,24.0,6-11,83,23.0,Forward-Center,SASPOR
